case,native,sgraph,category,native_reason,sgraph_reason
TestSpec2025_Execution_VariableCoercion/omitted_variable_uses_variable_default,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/single_value_is_coerced_into_a_list,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/unknown_input_object_field_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/wrong_scalar_type_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/aliases_on_introspection_fields,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/introspection_mixed_with_business_fields,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/introspection_through_inline_fragment,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/introspection_through_named_fragment,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/skip_directive_on_introspection_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/typename_and_meta_fields_are_not_in_type_fields,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/unknown_type_returns_null,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_CrossScenarios/variable_argument_on_introspection_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_DirectiveType,FAIL,FAIL,BOTH_FAIL,"introspection query returned errors: [Cannot query field ""isRepeatable"" on type ""__Directive"".]","introspection query returned errors: [Cannot query field ""isRepeatable"" on type ""__Directive"".]"
TestSpec2025_Introspection_EnumValueType,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_FieldType/args_accepts_includeDeprecated,FAIL,FAIL,BOTH_FAIL,"introspection query returned errors: [Unknown argument ""includeDeprecated"" on field ""args"" of type ""__Field"".]","introspection query returned errors: [Unknown argument ""includeDeprecated"" on field ""args"" of type ""__Field"".]"
TestSpec2025_Introspection_FieldType/field_metadata,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_FieldType/fields_includeDeprecated_false_filters,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_InputValueType,FAIL,FAIL,BOTH_FAIL,"introspection query returned errors: [Cannot query field ""isDeprecated"" on type ""__InputValue"". Cannot query field ""deprecationReason"" on type ""__InputValue"".]","introspection query returned errors: [Cannot query field ""isDeprecated"" on type ""__InputValue"". Cannot query field ""deprecationReason"" on type ""__InputValue"".]"
TestSpec2025_Introspection_SchemaType,FAIL,FAIL,BOTH_FAIL,"__schema query must succeed, got errors: [Cannot query field ""description"" on type ""__Schema"". Did you mean ""subscriptionType""?]","__schema query must succeed, got errors: [Cannot query field ""description"" on type ""__Schema"". Did you mean ""subscriptionType""?]"
TestSpec2025_Introspection_TypeNameField/root_typename_is_query_type_name,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeNameField/typename_inside_a_list,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeNameField/typename_inside_named_and_inline_fragments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeNameField/typename_on_interface_field_reports_runtime_object_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeNameField/typename_on_object_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeNameField/typename_on_union_field_reports_runtime_object_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeNameField/typename_with_alias,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeType/enum_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeType/inputFields_accepts_includeDeprecated,FAIL,FAIL,BOTH_FAIL,"introspection query returned errors: [Unknown argument ""includeDeprecated"" on field ""inputFields"" of type ""__Type"".]","introspection query returned errors: [Unknown argument ""includeDeprecated"" on field ""inputFields"" of type ""__Type"".]"
TestSpec2025_Introspection_TypeType/input_object_exposes_isOneOf,FAIL,FAIL,BOTH_FAIL,"introspection query returned errors: [Cannot query field ""isOneOf"" on type ""__Type"".]","introspection query returned errors: [Cannot query field ""isOneOf"" on type ""__Type"".]"
TestSpec2025_Introspection_TypeType/input_object_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeType/interface_implementing_another_interface,FAIL,FAIL,BOTH_FAIL,"__Type.interfaces on an INTERFACE must be a list (September 2025), got null","__Type.interfaces on an INTERFACE must be a list (September 2025), got null"
TestSpec2025_Introspection_TypeType/object_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeType/scalar_type_exposes_specifiedByURL,FAIL,FAIL,BOTH_FAIL,"introspection query returned errors: [Cannot query field ""specifiedByURL"" on type ""__Type"".]","introspection query returned errors: [Cannot query field ""specifiedByURL"" on type ""__Type"".]"
TestSpec2025_Introspection_TypeType/union_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Introspection_TypeType/wrapping_types_unwrap_through_ofType,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/argument_names_must_be_unique,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/argument_order_is_independent,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/explicit_null_argument,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Syntax Error GraphQL request (1:28) Unexpected Name ""null""","unexpected errors: [Syntax Error GraphQL request (1:28) Unexpected Name ""null"""
TestSpec2025_Language_Arguments/literal_arguments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/omitted_argument_uses_its_default_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/omitted_argument_without_default_is_absent,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/required_argument_must_be_provided,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/undefined_argument_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Arguments/variable_arguments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/fragment_description/block_quoted,FAIL,FAIL,BOTH_FAIL,"expected ""{ user { ...S25LangUserFields } }\n\""\""\""\nThe fields of a user.\n\""\""\""\nfragment S25LangUserFields on S25User { id name }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (2:1) Expected ""fragment"", found BlockString ""The fields of a user.""","expected ""{ user { ...S25LangUserFields } }\n\""\""\""\nThe fields of a user.\n\""\""\""\nfragment S25LangUserFields on S25User { id name }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (2:1) Expected ""fragment"", found BlockString ""The fields of a user."""
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/fragment_description/single_quoted,FAIL,FAIL,BOTH_FAIL,"expected ""{ user { ...S25LangUserFields } } \""The fields of a user.\"" fragment S25LangUserFields on S25User { id name }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:35) Expected ""fragment"", found String ""The fields of a user.""","expected ""{ user { ...S25LangUserFields } } \""The fields of a user.\"" fragment S25LangUserFields on S25User { id name }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:35) Expected ""fragment"", found String ""The fields of a user."""
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/operation_description/anonymous_operation_with_description,FAIL,FAIL,BOTH_FAIL,"expected ""\""An anonymous query.\"" query { greeting }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:1) Expected Name, found String ""An anonymous query.""","expected ""\""An anonymous query.\"" query { greeting }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:1) Expected Name, found String ""An anonymous query."""
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/operation_description/block_quoted,FAIL,FAIL,BOTH_FAIL,"expected ""\""\""\""\nGreets the caller.\n\""\""\""\nquery Greet { greeting }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:1) Expected Name, found BlockString ""Greets the caller.""","expected ""\""\""\""\nGreets the caller.\n\""\""\""\nquery Greet { greeting }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:1) Expected Name, found BlockString ""Greets the caller."""
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/operation_description/single_quoted,FAIL,FAIL,BOTH_FAIL,"expected ""\""Greets the caller.\"" query Greet { greeting }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:1) Expected Name, found String ""Greets the caller.""","expected ""\""Greets the caller.\"" query Greet { greeting }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:1) Expected Name, found String ""Greets the caller."""
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/variable_description/block_quoted,FAIL,FAIL,BOTH_FAIL,"expected ""query Echo(\n\""\""\""\nThe text to echo.\n\""\""\""\n$text: String! = \""hi\""\n) { echo(text: $text) }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (2:1) Expected $, found BlockString ""The text to echo.""","expected ""query Echo(\n\""\""\""\nThe text to echo.\n\""\""\""\n$text: String! = \""hi\""\n) { echo(text: $text) }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (2:1) Expected $, found BlockString ""The text to echo."""
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/variable_description/single_quoted,FAIL,FAIL,BOTH_FAIL,"expected ""query Echo(\""The text to echo.\"" $text: String! = \""hi\"") { echo(text: $text) }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:12) Expected $, found String ""The text to echo.""","expected ""query Echo(\""The text to echo.\"" $text: String! = \""hi\"") { echo(text: $text) }"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:12) Expected $, found String ""The text to echo."""
TestSpec2025_Language_DescriptionsOnExecutableDefinitions/variable_description/with_supplied_variable_values,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Syntax Error GraphQL request (1:12) Expected $, found String ""The text to echo.""","unexpected errors: [Syntax Error GraphQL request (1:12) Expected $, found String ""The text to echo."""
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/custom_directive_on_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/custom_directive_on_fragment_definition,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/custom_directive_on_fragment_spread_and_inline_fragment,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/custom_directive_on_query,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/custom_directive_on_variable_definition,FAIL,FAIL,BOTH_FAIL,"expected ""query S25LangTaggedVar($first: Int = 1 @s25Tag(label: \""variable\"")) {\n\t\t\titem { withArgs(first: $first) }\n\t\t}"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:40) Expected $, found @","expected ""query S25LangTaggedVar($first: Int = 1 @s25Tag(label: \""variable\"")) {\n\t\t\titem { withArgs(first: $first) }\n\t\t}"" to parse, got: Syntax Error GraphQL September 2025 conformance test (1:40) Expected $, found @"
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/directive_in_a_location_it_does_not_declare_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/directive_required_argument_must_be_provided,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/directives_are_not_repeatable_by_default,FAIL,FAIL,BOTH_FAIL,"expected validation errors, got none","expected validation errors, got none"
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/skip_and_include_are_order_independent,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/skip_and_include_on_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/skip_and_include_on_fragment_spread,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/skip_and_include_on_inline_fragment,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/skip_and_include_with_variables_on_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/skip_wins_over_include,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DirectivesAtEveryExecutableLocation/unknown_directive_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DocumentShapes/document_with_only_fragments_is_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DocumentShapes/fragment_may_be_defined_before_the_operation,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DocumentShapes/multiple_operations_selected_by_operationName,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DocumentShapes/multiple_operations_without_operationName_is_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DocumentShapes/operation_with_unused_fragment_is_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DocumentShapes/operation_with_used_fragment_executes,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_DocumentShapes/unknown_operationName_is_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_FieldAlias/alias_may_equal_another_fields_name,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_FieldAlias/alias_on_nested_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_FieldAlias/alias_renames_the_response_key,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_FieldAlias/conflicting_aliases_are_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_FieldAlias/same_field_twice_under_different_aliases_with_different_arguments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/fragment_cycles_are_invalid,FAIL,FAIL,BOTH_FAIL,isolated case fragment-cycles failed: exit status 2,isolated case fragment-cycles failed: exit status 2
TestSpec2025_Language_Fragments/fragment_may_not_be_named_on,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/fragment_names_must_be_unique,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/fragment_on_interface_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/inline_fragment_with_directive_and_no_type_condition,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/inline_fragment_with_type_condition,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/inline_fragment_without_type_condition,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/inline_fragment_without_type_condition_at_root,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/named_fragment_spread,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/same_fragment_spread_twice_is_merged,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_Fragments/three_level_fragment_nesting,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_IgnoredTokensAreInsignificant/bom_whitespace_line_terminators_and_comments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_IgnoredTokensAreInsignificant/commas_between_arguments_list_items_and_fields,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_IgnoredTokensAreInsignificant/comment_containing_closing_brace,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_IgnoredTokensAreInsignificant/comment_terminated_by_carriage_return,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_IgnoredTokensAreInsignificant/expected_values,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_IgnoredTokensAreInsignificant/leading_and_trailing_commas,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/block_string_escaped_triple_quote,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/block_string_keeps_quotes_and_backslashes_literal,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/block_string_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/boolean_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/custom_scalar_literal,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/empty_input_object_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/empty_list_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/enum_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/enum_value_must_not_be_quoted,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/explicit_null_input_object_field,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Syntax Error GraphQL request (1:41) Unexpected Name ""null""","unexpected errors: [Syntax Error GraphQL request (1:41) Unexpected Name ""null"""
TestSpec2025_Language_InputValueLiterals/float_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/fully_populated_nested_input_object,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/input_object_field_names_must_be_unique,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/input_object_field_order_is_insignificant,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/input_object_required_field_must_be_present,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/input_object_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/int_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/int_value_must_not_be_followed_by_a_name_start,FAIL,FAIL,BOTH_FAIL,"expected a parse error for ""{ echoList(values: [1abc]) }"", got none","expected a parse error for ""{ echoList(values: [1abc]) }"", got none"
TestSpec2025_Language_InputValueLiterals/int_value_must_not_have_leading_zero,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/list_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/malformed_float_values_are_parse_errors,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/nested_empty_list_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/nested_list_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/null_is_not_an_enum_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/null_value,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Syntax Error GraphQL request (1:27) Unexpected Name ""null""","unexpected errors: [Syntax Error GraphQL request (1:27) Unexpected Name ""null"""
TestSpec2025_Language_InputValueLiterals/single_value_is_coerced_into_a_one_element_list,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/string_braced_unicode_escape,FAIL,FAIL,BOTH_FAIL,unexpected errors: [Syntax Error GraphQL request (1:16) Invalid character escape sequence: \u{1F6,unexpected errors: [Syntax Error GraphQL request (1:16) Invalid character escape sequence: \u{1F6
TestSpec2025_Language_InputValueLiterals/string_escaped_characters,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/string_literal_supplementary_character,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/string_surrogate_pair_escape,FAIL,FAIL,BOTH_FAIL,data mismatch,data mismatch
TestSpec2025_Language_InputValueLiterals/string_unicode_escape,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/string_value,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_InputValueLiterals/unknown_input_object_field_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_NameLexing/fragment_and_variable_names_follow_the_same_grammar,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_NameLexing/name_may_not_contain_hyphen,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_NameLexing/name_may_not_start_with_digit,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_NameLexing/names_are_case_sensitive_response_keys,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_NameLexing/valid_names,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_OperationForms/anonymous_shorthand,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_OperationForms/explicit_query_keyword,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_OperationForms/named_query,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_OperationForms/named_query_with_variable_definitions_only,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_OperationForms/query_with_variable_definitions_and_directives,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_OperationForms/shorthand_and_explicit_forms_are_equivalent,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_PunctuatorsParse/ampersand_and_pipe_in_type_system_document,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_PunctuatorsParse/executable_document_uses_bang_dollar_paren_spread_colon_equals_at_bracket_brace,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_SelectionSetsAndFields/composite_field_without_selection_set_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_SelectionSetsAndFields/leaf_field_with_selection_set_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_SelectionSetsAndFields/leaf_field_without_selection_set,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_SelectionSetsAndFields/nested_selection_sets,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_SelectionSetsAndFields/response_key_order_follows_selection_order,FAIL,PASS,SGRAPH_FIXED,"key ""a"" appears out of order in {""a"":""a"",""m"":""m"",""z"":""z""}",
TestSpec2025_Language_SelectionSetsAndFields/same_field_repeated_is_merged_into_one_response_key,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_SelectionSetsAndFields/same_nested_field_repeated_is_merged,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/missing_non_null_variable_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/nested_list_type_reference_with_default,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Variable ""$values"" of type ""[[Int!]!]!"" is required and will not use the default value. Perhaps you meant to use type ""[[Int!]!]"".]","unexpected errors: [Variable ""$values"" of type ""[[Int!]!]!"" is required and will not use the default value. Perhaps you meant to use type ""[[Int!]!]"".]"
TestSpec2025_Language_VariablesAndTypeReferences/nested_non_null_list_type_reference,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/non_null_variable,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/null_for_non_null_variable_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/nullable_variable_default_is_used_when_absent,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/supplied_value_overrides_the_variable_default,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Variable ""$text"" of type ""String!"" is required and will not use the default value. Perhaps you meant to use type ""String"".]","unexpected errors: [Variable ""$text"" of type ""String!"" is required and will not use the default value. Perhaps you meant to use type ""String"".]"
TestSpec2025_Language_VariablesAndTypeReferences/undefined_variable_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/unused_variable_is_invalid,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/variable_default_must_be_a_constant,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/variable_inside_a_list_literal,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/variable_inside_a_nested_input_object_literal,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/variable_inside_an_input_object_literal,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/variable_names_must_be_unique,PASS,PASS,BOTH_PASS,,
TestSpec2025_Language_VariablesAndTypeReferences/variable_with_default_value,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Variable ""$text"" of type ""String!"" is required and will not use the default value. Perhaps you meant to use type ""String"".]","unexpected errors: [Variable ""$text"" of type ""String!"" is required and will not use the default value. Perhaps you meant to use type ""String"".]"
TestSpec2025_Language_VariablesAndTypeReferences/variables_may_only_be_input_types,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_DataEntry,FAIL,PASS,SGRAPH_FIXED,isolated case response-data-entry failed: exit status 2,
TestSpec2025_Response_ErrorObjectShape/extensions_are_propagated,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ErrorObjectShape/message_locations_and_path,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ErrorObjectShape/multiple_sibling_errors_are_all_reported,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ErrorObjectShape/path_elements_are_strings_and_integers,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ErrorObjectShape/serialized_error_object_keys,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ExecutionResultShape/errors_entry_is_never_an_empty_list,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ExecutionResultShape/field_error_keeps_data_and_adds_errors,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ExecutionResultShape/successful_request_carries_data,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ExtensionsEntry/extensions_entry_is_a_map_and_is_reported,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_ExtensionsEntry/top_level_entries_are_restricted,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_JSONSerialization/integers_serialize_without_a_fraction,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_JSONSerialization/lists_serialize_as_json_arrays_preserving_order,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_JSONSerialization/scalars_serialize_with_json_types,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_JSONSerialization/strings_are_escaped,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_PositionFollowsQueryOrder/aliases_keep_query_order,FAIL,PASS,SGRAPH_FIXED,"key ""aa"" appears out of order in {""aa"":""a"",""mm"":""m"",""zz"":""z""}",
TestSpec2025_Response_PositionFollowsQueryOrder/first_occurrence_determines_position_even_when_skipped,PASS,PASS,BOTH_PASS,,
TestSpec2025_Response_PositionFollowsQueryOrder/fragment_expansion_keeps_first_occurrence_position,FAIL,PASS,SGRAPH_FIXED,"key ""a"" appears out of order in {""a"":""a"",""m"":""m"",""z"":""z""}",
TestSpec2025_Response_PositionFollowsQueryOrder/nested_fields_keep_query_order,FAIL,PASS,SGRAPH_FIXED,"key ""id"" appears out of order in {""user"":{""id"":""u1"",""name"":""Ada""}}",
TestSpec2025_Response_PositionFollowsQueryOrder/root_fields_keep_query_order,FAIL,PASS,SGRAPH_FIXED,"key ""a"" appears out of order in {""a"":""a"",""m"":""m"",""z"":""z""}",
TestSpec2025_Response_RequestErrorResultOmitsData/parse_error,FAIL,FAIL,BOTH_FAIL,serialized request error result must omit the data entry entirely; got null,serialized request error result must omit the data entry entirely; got null
TestSpec2025_Response_RequestErrorResultOmitsData/unknown_operation_name,FAIL,FAIL,BOTH_FAIL,serialized request error result must omit the data entry entirely; got null,serialized request error result must omit the data entry entirely; got null
TestSpec2025_Response_RequestErrorResultOmitsData/validation_error,FAIL,FAIL,BOTH_FAIL,serialized request error result must omit the data entry entirely; got null,serialized request error result must omit the data entry entirely; got null
TestSpec2025_Response_RequestErrorResultOmitsData/variable_coercion,FAIL,FAIL,BOTH_FAIL,serialized request error result must omit the data entry entirely; got null,serialized request error result must omit the data entry entirely; got null
TestSpec2025_Response_SerializedMapOrdering/data_keys_follow_request_order,FAIL,PASS,SGRAPH_FIXED,"key ""a"" appears out of order in {""a"":""a"",""m"":""m"",""z"":""z""}",
TestSpec2025_Response_SerializedMapOrdering/list_item_map_keys_follow_request_order,FAIL,PASS,SGRAPH_FIXED,"list item keys are not in request order: {""people"":[{""id"":""p1"",""name"":""Ada""},{""id"":""p2"",""name"":""Bob""},{""id"":""p3"",""name"":""Cid""}]}",
